Audio,Gender
aud_001.wav,Male
aud_002.wav,Male
aud_003.wav,Female
aud_004.wav,Female
aud_005.wav,Female
aud_006.wav,Female
aud_007.wav,Female
aud_008.wav,Female
aud_009.wav,Female
aud_010.wav,Female
aud_011.wav,Female
aud_012.wav,Female
aud_013.wav,Female
aud_014.wav,Female
aud_015.wav,Female
aud_016.wav,Female
aud_017.wav,Female
aud_018.wav,Female
aud_019.wav,Female
aud_020.wav,Female
aud_021.wav,Female
aud_022.wav,Female
aud_023.wav,Female
aud_024.wav,Female
aud_025.wav,Female
aud_026.wav,Female
aud_027.wav,Female
aud_028.wav,Female
aud_029.wav,Female
aud_030.wav,Female
aud_031.wav,Female
aud_032.wav,Female
aud_033.wav,Female
aud_034.wav,Female
aud_035.wav,Female
aud_036.wav,Female
aud_037.wav,Female
aud_038.wav,Male
aud_039.wav,Male
aud_040.wav,Male
aud_041.wav,Male
aud_042.wav,Male
aud_043.wav,Male
aud_044.wav,Male
aud_045.wav,Male
aud_046.wav,Male
aud_047.wav,Male
aud_048.wav,Male
aud_049.wav,Male
aud_050.wav,Male
aud_051.wav,Male
aud_052.wav,Male
aud_053.wav,Male
aud_054.wav,Male
aud_055.wav,Male
aud_056.wav,Male
aud_057.wav,Male
aud_058.wav,Male
aud_059.wav,Male
aud_060.wav,Male
aud_061.wav,Male
aud_062.wav,Male
aud_063.wav,Male
aud_064.wav,Male
aud_065.wav,Male
aud_066.wav,Male
aud_067.wav,Male
aud_068.wav,Male
aud_069.wav,Male
aud_070.wav,Male
